repo,topic,language,#br,#sent,#word,#code_sent,#code_word,#quote_sent,#quote_word
vuejs/vue,6351,JavaScript,2,193,1273,20,52,10,89
vuejs/vue,6235,JavaScript,2,170,1117,19,63,11,52
tensorflow/tensorflow,6809,C++,2,271,1276,16,120,8,51
tensorflow/tensorflow,27955,C++,2,152,619,54,151,4,19
twbs/bootstrap,10202,JavaScript,2,69,525,6,10,0,0
twbs/bootstrap,26716,JavaScript,2,128,879,5,8,3,20
ohmyzsh/ohmyzsh,7642,Shell,2,131,750,19,76,6,36
ohmyzsh/ohmyzsh,3009,Shell,3,109,669,17,78,7,25
flutter/flutter,13937,Dart,2,196,861,132,521,5,27
microsoft/vscode,94807,TypeScript,2,271,988,0,0,35,155
microsoft/vscode,66774,TypeScript,2,143,763,2,2,0,0
electron/electron,19569,C++,3,113,511,5,11,7,28
electron/electron,2810,C++,3,80,507,16,35,0,0
golang/go,21266,Go,2,129,599,56,171,10,46
angular/angular,14757,TypeScript,3,138,734,24,93,0,0
angular/angular,17181,TypeScript,2,165,807,36,130,6,22
angular/angular,22434,TypeScript,2,129,639,51,130,0,0
PrestaShop/PrestaShop,9863,PHP,5,129,556,0,0,6,18
PrestaShop/PrestaShop,9641,PHP,3,124,633,0,0,5,14
vuetifyjs/vuetify,838,TypeScript,2,77,542,1,10,0,0
vuetifyjs/vuetify,1561,TypeScript,2,210,1047,36,90,1,6
runelite/runelite,1662,Java,3,76,554,0,0,0,0
highcharts/highcharts,2280,TypeScript,3,135,699,18,35,1,3
highcharts/highcharts,1093,TypeScript,2,110,550,17,26,1,5
highcharts/highcharts,979,TypeScript,2,122,698,12,24,5,51
grafana/grafana,18690,TypeScript,2,262,1511,118,438,2,20
grafana/grafana,15622,TypeScript,2,222,1361,7,77,20,180
systemd/systemd,13470,C,2,76,519,2,12,5,18
systemd/systemd,12955,C,3,143,855,34,185,8,43
harvesthq/chosen,2839,HTML,3,91,701,3,30,7,71
nvaccess/nvda,1707,Python,2,97,661,0,0,7,82
nvaccess/nvda,3188,Python,5,110,652,0,0,0,0
mapbox/mapbox-gl-native,3130,C++,2,104,663,0,0,0,0
hexchat/hexchat,1137,C,2,187,1395,4,30,48,341
mozilla-mobile/fenix,9636,Kotlin,6,142,870,2,4,4,31
mozilla-mobile/fenix,12982,Kotlin,5,125,664,0,0,1,5
pallets/flask,2389,Python,2,127,504,45,174,0,0
pallets/flask,170,Python,2,96,603,2,15,10,40
keras-team/keras,4178,Python,2,282,1335,99,426,1,9
keras-team/keras,5221,Python,4,245,1240,132,509,0,0
httpie/httpie,78,Python,2,158,600,76,213,0,0
WordPress/gutenberg,11463,JavaScript,2,159,949,21,84,4,44
WordPress/gutenberg,17334,JavaScript,2,92,784,0,0,0,0
WordPress/gutenberg,7964,JavaScript,3,129,782,0,0,0,0
WordPress/gutenberg,25965,JavaScript,2,42,435,0,0,0,0
google/guava,807,Java,2,149,1179,16,39,0,0
PhilJay/MPAndroidChart,133,Java,2,111,542,53,197,0,0
PhilJay/MPAndroidChart,2452,Java,2,146,571,88,292,0,0
airbnb/lottie-android,1177,Java,4,169,757,5,12,19,107
airbnb/lottie-android,524,Java,3,243,689,24,57,0,0
airbnb/lottie-android,1284,Java,2,206,888,112,308,1,4
zxing/zxing,302,Java,2,114,754,0,0,0,0
zxing/zxing,261,Java,2,149,941,0,0,0,0
JakeWharton/butterknife,31,Java,2,176,603,100,228,9,24
google/gson,649,Java,2,103,551,13,31,31,121
spring-projects/spring-boot,20995,Java,3,86,806,4,11,0,0
spring-projects/spring-boot,16580,Java,2,98,643,28,106,4,45
elastic/elasticsearch,37637,Java,2,107,660,52,360,0,0
elastic/elasticsearch,68609,Java,2,199,866,149,559,1,6
elastic/elasticsearch,24167,Java,2,131,776,94,516,0,0
